STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
IL,36,N,F,0,,N,L,E,C,T,2
CA,14,H,M,3,,N,L,G,A,S,1
NC,43,U,M,3,,N,L,E,C,R,2
CA,44,U,F,3,,N,L,E,C,R,2
FL,16,H,F,3,12,N,L,F,A,S,2
other,40,N,F,0,,N,L,F,C,T,2
IN,40,H,F,3,,N,L,E,D,T,2
other,39,U,F,1,,N,L,E,C,T,2
other,45,U,M,3,,N,L,F,D,R,2
other,35,N,M,0,,N,L,F,B,T,1
other,53,U,F,1,,N,L,F,D,R,3
IN,17,U,M,3,,N,L,F,B,S,2
other,51,H,F,3,,N,L,D,D,R,3
other,40,N,M,0,12,N,L,G,B,T,2
other,35,H,M,3,,N,L,F,D,T,1
CA,2,H,M,1,,N,L,F,A,U,1
MI,20,U,M,3,,N,L,F,A,S,2
IL,43,U,F,2,,N,L,G,C,R,2
FL,16,H,F,3,,N,L,F,B,S,2
NC,27,N,M,0,,N,L,F,C,C,2
other,12,H,F,3,,N,L,D,A,S,1
MI,43,U,M,3,,N,L,G,C,R,2
FL,40,N,F,0,,N,L,G,C,T,2
IL,22,N,F,0,,N,L,E,A,C,1
other,35,H,F,3,,N,L,E,A,T,1
CA,35,H,M,3,,N,L,F,B,T,1
IL,13,H,F,2,,N,L,G,A,S,1
MO,35,H,M,3,,N,L,E,D,T,1
TX,35,H,F,3,,N,L,E,A,T,1
IL,40,U,F,3,,N,L,E,A,T,2
TX,35,N,M,0,,N,L,D,A,T,1
MO,8,H,M,3,,N,L,F,A,U,3
NC,25,U,F,3,,N,L,G,B,C,2
FL,15,U,F,3,,N,L,F,A,S,1
other,40,N,F,0,,N,L,F,B,R,2
other,42,N,M,0,,N,L,F,C,R,1
TX,12,H,M,3,,N,L,G,B,S,1
CA,11,U,F,3,,N,L,G,A,S,1
other,17,H,F,2,,N,L,F,A,S,2
other,36,H,F,3,,N,L,G,D,T,2
IL,28,N,F,0,,N,L,G,B,C,2
MI,2,N,F,0,,N,L,E,B,U,1
WA,14,H,M,3,,N,L,F,A,S,1
FL,35,H,M,3,,N,L,F,A,T,1
WI,18,H,F,3,,N,L,F,B,S,2
other,24,H,F,3,,Y,L,D,C,C,1
other,40,N,F,2,,Y,L,E,C,R,2
IN,34,H,M,2,,Y,L,F,C,T,1
WA,5,N,M,0,,N,L,F,A,U,2
TX,31,H,M,2,,N,L,F,C,C,3
IL,44,U,F,2,12,N,L,F,B,R,2
NC,32,H,F,3,,N,L,F,B,C,3
NC,27,H,F,2,,N,L,D,B,C,2
FL,18,H,F,3,,N,L,E,A,S,2
IL,36,H,M,2,,N,L,F,C,T,2
CA,46,N,F,0,,Y,L,G,A,R,2
CA,3,U,F,2,,N,L,E,A,U,1
other,50,H,F,2,,N,L,F,D,R,3
TX,18,N,M,0,,N,L,F,A,S,2
IN,44,H,F,2,,Y,L,F,C,R,2
